City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Anadyr,RU,64.75,177.4833,16.3,92,100,24.61,light snow
216,Pedernales,DO,18.0384,-71.744,75.99,78,0,3.8,light rain
217,Bharatpur,IN,27.2167,77.4833,47.91,41,92,3.44,overcast clouds
218,Fort Nelson,CA,58.8053,-122.7002,2.79,85,75,0.0,light snow
219,Barrow,US,71.2906,-156.7887,-0.38,78,100,9.22,overcast clouds
220,Honiara,SB,-9.4333,159.95,83.98,76,90,6.15,overcast clouds
221,Leningradskiy,RU,69.3833,178.4167,-22.38,97,55,2.39,broken clouds
222,Kloulklubed,PW,7.0419,134.2556,81.1,80,100,15.57,overcast clouds
223,Luderitz,NA,-26.6481,15.1594,61.47,93,3,8.93,clear sky
224,Rong Kwang,TH,18.339,100.3174,73.44,56,81,2.89,broken clouds
225,Kamaishi,JP,39.2667,141.8833,41.86,64,95,5.37,overcast clouds
226,Griffith,US,41.5284,-87.4237,30.69,83,100,8.05,overcast clouds
227,Cockburn Town,TC,21.4612,-71.1419,76.96,73,75,12.66,broken clouds
228,Tuding,PH,16.4103,120.6442,69.85,55,5,1.74,clear sky
229,Hays,US,30.0502,-98.0336,58.06,57,92,1.01,overcast clouds
230,Khorixas,NA,-20.3667,14.9667,66.04,39,39,3.62,scattered clouds
231,Thompson,CA,55.7435,-97.8558,-7.89,100,37,2.3,scattered clouds
232,Cockeysville,US,39.4812,-76.6439,40.82,76,100,1.99,overcast clouds
233,Dzhebariki-Khaya,RU,62.2167,135.8,-22.79,97,100,1.52,overcast clouds
234,Jacareacanga,BR,-6.2222,-57.7528,72.93,94,99,1.88,overcast clouds
235,Otautau,NZ,-46.15,168.0,79.16,40,0,5.93,clear sky
236,Ribeira Grande,PT,38.5167,-28.7,62.78,90,100,17.0,overcast clouds
237,Santa Cruz,BO,-17.8,-63.1667,78.26,83,75,6.91,broken clouds
238,Martyush,RU,56.4,61.8819,-14.91,86,100,11.97,overcast clouds
239,Lusambo,CD,-4.9667,23.45,68.05,97,100,1.83,overcast clouds
240,Huarmey,PE,-10.0681,-78.1522,70.36,80,99,7.29,overcast clouds
241,Ancud,CL,-41.8697,-73.8203,59.77,91,97,10.02,overcast clouds
242,Borazjan,IR,29.2666,51.2159,53.33,66,50,1.45,scattered clouds
243,Sooke,CA,48.3746,-123.7276,46.89,94,100,4.05,heavy intensity rain
244,Dunda,TZ,-8.1167,34.25,64.58,99,100,4.05,light rain
245,Harper,LR,4.375,-7.7169,78.49,83,42,6.46,scattered clouds
246,Yar-Sale,RU,66.8333,70.8333,-11.04,91,70,18.37,broken clouds
247,Klaksvik,FO,62.2266,-6.589,43.72,89,43,17.52,light rain
248,Cochabamba,BO,-17.3895,-66.1568,63.19,49,75,3.44,broken clouds
249,Shelburne,CA,44.0787,-80.2041,25.9,93,100,6.67,overcast clouds
250,Chokurdakh,RU,70.6333,147.9167,-16.22,99,100,6.29,overcast clouds
251,Fortuna,US,40.5982,-124.1573,53.98,78,0,20.71,clear sky
252,Pecos,US,31.4229,-103.4932,58.86,37,0,3.44,clear sky
253,Powell,US,40.1578,-83.0752,37.6,80,100,6.91,overcast clouds
254,Chippewa Falls,US,44.9369,-91.3929,17.78,83,0,3.44,clear sky
255,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,5.75,light rain
256,Nehe,CN,48.4833,124.8333,-3.1,94,27,2.62,scattered clouds
257,Chernyshevsk,RU,52.5243,117.0174,-9.49,97,100,2.48,overcast clouds
258,Ayan,RU,56.45,138.1667,0.86,75,94,5.97,overcast clouds
259,Padang,ID,-0.9492,100.3543,78.85,72,88,1.59,overcast clouds
260,Richards Bay,ZA,-28.783,32.0377,65.21,89,0,7.43,clear sky
261,Kendal,GB,54.3268,-2.7476,44.58,95,67,14.67,broken clouds
262,Belyy Yar,RU,53.6039,91.3903,8.85,79,100,4.47,mist
263,Mastic Beach,US,40.7668,-72.8521,38.77,76,0,0.0,clear sky
264,Serdobsk,RU,52.4586,44.2169,-4.04,95,30,5.06,scattered clouds
265,Vaini,TO,-21.2,-175.2,87.96,74,75,10.36,broken clouds
266,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.22,77,48,7.61,scattered clouds
267,Spassk,RU,52.747,87.7545,29.93,97,100,5.46,snow
268,Banovici,BA,44.4053,18.5242,39.65,93,0,5.75,clear sky
269,Marzuq,YE,14.4,46.4667,59.47,76,4,3.6,clear sky
270,Agadez,NE,19.75,10.25,54.84,32,93,10.85,overcast clouds
271,Jacksonville,US,30.3322,-81.6556,63.03,83,40,6.91,scattered clouds
272,Kudat,MY,6.8837,116.8477,78.73,89,20,3.44,few clouds
273,Cumberland,US,35.0502,-78.8664,46.49,82,0,4.61,clear sky
274,Meadow Lake,US,34.8014,-106.5436,44.13,46,38,0.58,scattered clouds
275,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,31,0,2.3,clear sky
276,Buchanan,LR,5.8808,-10.0467,78.44,86,44,5.73,scattered clouds
277,Churapcha,RU,62.0025,132.4325,-18.78,98,99,2.95,overcast clouds
278,Mount Gambier,AU,-37.8333,140.7667,72.43,50,100,10.18,overcast clouds
279,Chapleau,CA,47.8405,-83.4034,23.09,93,40,13.8,scattered clouds
280,Fundacion,CO,10.5207,-74.185,78.96,82,23,2.66,few clouds
281,Esperance,AU,-33.8667,121.9,71.78,56,0,9.89,clear sky
282,Nakamura,JP,32.9833,132.9333,58.37,34,0,3.51,clear sky
283,Belene,BG,43.65,25.1167,38.14,80,41,1.99,scattered clouds
284,Ixtapa,MX,20.7,-105.2,76.23,78,0,9.22,clear sky
285,Maragogi,BR,-9.0122,-35.2225,77.0,77,55,7.38,broken clouds
286,Harur,IN,12.0667,78.5,64.71,91,26,2.82,scattered clouds
287,Ciudad Bolivar,VE,8.1222,-63.5497,76.55,79,100,10.78,overcast clouds
288,Trairi,BR,-3.2778,-39.2689,79.47,77,100,11.12,light rain
289,Itarema,BR,-2.9248,-39.9167,79.29,77,62,14.07,broken clouds
290,Ulaanbaatar,MN,47.9077,106.8832,8.01,84,8,5.46,clear sky
291,San Patricio,US,28.017,-97.5169,67.86,62,98,7.54,overcast clouds
292,Hoima,UG,1.4356,31.3436,69.64,46,100,2.17,overcast clouds
293,Ambulu,ID,-8.345,113.6058,81.82,71,100,2.86,overcast clouds
294,Lithakia,GR,37.7167,20.8333,45.77,76,20,0.69,few clouds
295,Nemuro,JP,43.3236,145.575,33.12,73,100,7.72,overcast clouds
296,Linden,GY,6.0,-58.3,71.76,99,82,2.33,broken clouds
297,Fairbanks,US,64.8378,-147.7164,6.76,79,100,0.0,light snow
298,Ugoofaaru,MV,5.6667,73.0,80.8,75,12,9.04,few clouds
299,Olinda,BR,-8.0089,-34.8553,80.33,69,40,5.75,scattered clouds
